id|code|name|unit|volume|status
249|TM35-AUX-005|Откачка воды и очистка приямка УУСА1. Герметизация (гидроизоляция с заделкой швов, мест ввода трубы) дренажных колодцев|||not_started
250|TM35-AUX-006|Переустройство площадок обслуживания в УУСА1, обеспечивающие безопасный и свободный доступ к приборам и арматуре для их обслуживания и ремонта|||not_started
251|TM35-AUX-007|Переустройство площадок обслуживания в УУТЭ, обеспечивающие безопасный и свободный доступ к приборам и арматуре для их обслуживания и ремонта|||not_started
252|TM35-AUX-008|Переустройство площадок обслуживания в УУСА2, обеспечивающие безопасный и свободный доступ к приборам и арматуре для их обслуживания и ремонта|||not_started
253|TM35-AUX-009|Прокладка кабеля внутри УУСА1|||done_physically
254|TM35-AUX-010|Монтаж датчика температуры наружного воздуха, датчика протечки, датчика контроля доступа УУТЭ|||not_started
255|TM35-AUX-011|Установка электрощита УТ1 в проектное положение|||done_physically
256|TM35-AUX-012|Подключение корпуса наружного щита УУСА2 к заземлителю|||done_physically
206|TM35-AUX-106|Выгрузка материалов с Ванино: трубы, забор и т.д.|т|20.0|done_physically
207|TM35-AUX-107|Электромонтажные работы по УТ 13|шт|2.0|done_physically
208|TM35-AUX-108|Установка плиты ШВ дэс УУСА 1 УУСА2 в проектное положение|шт|1.0|done_physically
209|TM35-AUX-109|Работы по устранению зазоров "ТЭЦ" ОПВ 5.2|шт|1.0|done_physically
210|TM35-AUX-110|Покраска гильз УУТЭ 1, УУТЭ 2, УССА 1, УССА 2|шт|16.0|done_physically
211|TM35-AUX-111|Протягивание кабельной линии в гофре УТ12|м|13.0|done_physically
212|TM35-AUX-112|Протягивание электро-кабеля от шкафа  УТ12|п.м.|30.0|done_physically
213|TM35-AUX-113|Установка комплекта напольной установки для шкафов. Установка щита с монтажной панелью УТ12|шт|2.0|done_physically
214|TM35-AUX-114|Протягивание электро-кабеля от шкафа УТ13|п.м.|30.0|done_physically
215|TM35-AUX-115|Установка комплекта напольной установки для шкафов. Установка щита с монтажной панелью УТ13|шт|2.0|done_physically
216|TM35-AUX-116|Замена полосы ГЗШ на УТ6|м.п.|45.0|done_physically
217|TM35-AUX-117|Водооборьба  от камер и КД|||not_started
218|TM35-AUX-118|Погрузка материалов на Фокино.|||done_physically
219|TM35-AUX-119|Упорядочивание материала на складе .|т|30.0|not_started
220|TM35-AUX-120|Монтаж ж/б плиты для щита ШВ.ДЭС УТ9|шт|2.0|done_physically
221|TM35-AUX-121|Демонтаж лесов ОПВ 5.2|м.п.|240.0|done_physically
222|TM35-AUX-122|Благоустройство территории УТ15.2|м2|300.0|done_physically
223|TM35-AUX-123|Монтаж стоек и установка ШВ.ДЭС УУСА 1 УУСА2 в проектное положение|шт|2.0|done_physically
224|TM35-AUX-124|Устройство навесов над входами в камеры для защиты от осадков|шт|30.0|done_physically
225|TM35-AUX-125|Выгрузка материалов с Ванино: арматура, трубы и т.д.|комп.|1.0|done_physically
226|TM35-AUX-126|Перевозка лесов на строительные площадки ТЭЦ - КР2|комп.|1.0|done_physically
227|TM35-AUX-127|Устройство водоотведения КД в районе ТЭЦ|п.м.|30.0|done_physically
228|TM35-AUX-128|Погрузка и разгрузка трубной продукции в целях транспортировки и складирования на склад ХТЗ|комп.|1.0|in_progress
229|TM35-AUX-129|Водоотведение от камер (ручным способом, при отсутствии ГСМ)|м3||in_progress
230|TM35-AUX-130|Снятие размеров камеры, для передачи в ПТО|||not_started
231|TM35-AUX-131|Подготова, загрузка оборудования и материала на Сахалин|комп.||in_progress
232|TM35-AUX-132|Замеры по смещению кд|шт||not_started
233|TM35-AUX-133|УТ 1.1, установка дополнительного кольца КС7.9|комп.|1.0|done_physically
234|TM35-AUX-134|Перепись серийных номеров термоманометров в камерах|шт||not_started
235|TM35-AUX-135|Пусконаладочные работы УУТЭ 2|комп.|1.0|done_physically
236|TM35-AUX-136|Выравнивание потенциалов на УТ10 электрика|комп.|1.0|done_physically
237|TM35-AUX-137|Вытягивание гофра трубы УТ10 электрика|м.п.|30.0|done_physically
238|TM35-AUX-138|Вытягивание  гофра трубы по основаниям для выравнивания УТ2.1 электрика|м.п.|30.0|done_physically
239|TM35-AUX-139|Проверка электрооборудования в камерах, чистка контактов УТ 12, УТ11|комп.|1.0|done_physically
240|TM35-AUX-140|Монтаж системы уравнивания потенциалов УТ12 электрика|комп.|1.0|done_physically
241|TM35-AUX-141|Изготовление фитинга для УТ15.2|шт|1.0|done_physically
242|TM35-AUX-142|Монтаж строительных лесов УТ15.2|м3|7.0|done_physically
243|TM35-AUX-143|Работы по предоставлению участков трубы РСК на УП65|комп.|1.0|done_physically
244|TM35-AUX-144|Монтаж промежуточного кабельного вывода с последущей установкой КНС УТ15.2|комп.|1.0|in_progress
245|TM35-IKS-001|Переустройство кожухов (металлоконструкций павильонов) УУСА1 с их утеплением|шт|1.0|not_started
246|TM35-IKS-002|Переустройство кожухов (металлоконструкций павильонов) УУСА2 с их утеплением|шт|1.0|not_started
247|TM35-IKS-003|Переустройство кожухов (металлоконструкций павильонов) УУТЭ1 с их утеплением|шт|1.0|not_started
248|TM35-IKS-004|Переустройство кожухов (металлоконструкций павильонов) УУТЭ2 с их утеплением|шт|1.0|not_started
101|TM35-MAIN-001|Заделка швов, ремонт стен, устройство оклеечной изоляции  УТ6|комп.|1.0|done_physically
102|TM35-MAIN-002|Заделка швов, ремонт стен, устройство оклеечной изоляции  УТ10|комп.|1.0|done_physically
103|TM35-MAIN-003|Заделка швов, ремонт стен, устройство оклеечной изоляции  УТ11|комп.|1.0|done_physically
104|TM35-MAIN-004|Заделка швов, ремонт стен, устройство оклеечной и обмазочной  изоляции   КР2|комп.|1.0|done_physically
105|TM35-MAIN-005|Заделка швов, ремонт стен, устройство оклеечной изоляции  УТ12|комп.|1.0|done_physically
106|TM35-MAIN-006|Заделка швов, ремонт стен, устройство оклеечной изоляции  УТ13|комп.|1.0|done_physically
107|TM35-MAIN-007|Заделка швов, ремонт стен, устройство оклеечной изоляции  УТ2.2|комп.|1.0|not_started
108|TM35-MAIN-008|Заделка швов, ремонт стен, устройство оклеечной изоляции КР1|комп.|1.0|not_started
109|TM35-MAIN-009|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ3|комп.|1.0|not_started
110|TM35-MAIN-010|Заделка швов, ремонт стен, устройство оклеечной изоляции КМ3|комп.|1.0|not_started
111|TM35-MAIN-011|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ4|комп.|1.0|in_progress
112|TM35-MAIN-012|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ5|комп.|1.0|in_progress
113|TM35-MAIN-013|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ7|комп.|1.0|not_started
114|TM35-MAIN-014|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ8|комп.|1.0|not_started
115|TM35-MAIN-015|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ9|комп.|1.0|not_started
116|TM35-MAIN-016|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ2.1|комп.|1.0|not_started
117|TM35-MAIN-017|Заделка швов, ремонт стен, устройство оклеечной изоляции КМ4|комп.|1.0|not_started
118|TM35-MAIN-018|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ15|комп.|1.0|not_started
119|TM35-MAIN-019|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ15.1|комп.|1.0|not_started
120|TM35-MAIN-020|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ15.2|комп.|1.0|not_started
121|TM35-MAIN-021|Заделка швов, ремонт стен, устройство оклеечной изоляции КР3|комп.|1.0|not_started
122|TM35-MAIN-022|Заделка швов, ремонт стен, устройство оклеечной изоляции УТ16|комп.|1.0|not_started
123|TM35-MAIN-023|Заделка швов, ремонт стен, устройство оклеечной изоляции КМ5|комп.|1.0|not_started
124|TM35-MAIN-024|Монтаж герметезатора УТ2.2|шт|2.0|not_started
125|TM35-MAIN-025|Монтаж герметезатора КР1|шт|2.0|not_started
126|TM35-MAIN-026|Монтаж герметезатора КМ3|шт|2.0|not_started
127|TM35-MAIN-027|Монтаж герметезатора УТ4|шт|2.0|not_started
128|TM35-MAIN-028|Монтаж герметезатора УТ5|шт|4.0|in_progress
129|TM35-MAIN-029|Монтаж герметезатора УТ6|шт|4.0|not_started
130|TM35-MAIN-030|Монтаж герметезатора УТ7|шт|4.0|not_started
131|TM35-MAIN-031|Монтаж герметезатора УТ8|шт|4.0|not_started
132|TM35-MAIN-032|Монтаж герметезатора УТ9|шт|2.0|not_started
133|TM35-MAIN-033|Монтаж герметезатора УТ10|шт|4.0|not_started
134|TM35-MAIN-034|Монтаж герметезатора УТ11|шт|2.0|not_started
135|TM35-MAIN-035|Монтаж герметезатора УТ12|шт|2.0|not_started
136|TM35-MAIN-036|Монтаж герметезатора УТ13|шт|2.0|not_started
137|TM35-MAIN-037|Монтаж герметезатора УТ15|шт|2.0|not_started
138|TM35-MAIN-038|Монтаж герметезатора УТ15.1|шт|2.0|not_started
139|TM35-MAIN-039|Монтаж герметезатора УТ15.2|шт|2.0|not_started
140|TM35-MAIN-040|Монтаж герметезатора УТ16|шт|2.0|not_started
141|TM35-MAIN-041|Устройство водоотвода УУСА1 и вертикальная планировка|комп.|1.0|not_started
142|TM35-MAIN-042|Устройство водоотвода УУСА2 и вертикальная планировка|комп.|1.0|not_started
143|TM35-MAIN-043|Устройство водоотвода УУТЭ1 и вертикальная планировка|комп.|1.0|not_started
144|TM35-MAIN-044|Устройство водоотвода УУТЭ2 и вертикальная планировка|комп.|1.0|not_started
145|TM35-MAIN-045|Устройство водоотвода УТ1 и вертикальная планировка.|комп.|1.0|not_started
146|TM35-MAIN-046|Устройство водоотвода УТ1.1 и вертикальная планировка|комп.|1.0|not_started
147|TM35-MAIN-047|Устройство водоотвода УТ2 и вертикальная планировка|комп.|1.0|not_started
148|TM35-MAIN-048|Устройство водоотвода УТ2.1 и вертикальная планировка|комп.|1.0|not_started
149|TM35-MAIN-049|Устройство отмостки УТ1|м3|3.86|not_started
150|TM35-MAIN-050|Устройство отмостки УТ1.1|м3|3.86|not_started
151|TM35-MAIN-051|Устройство отмостки УТ2|м3|3.86|not_started
152|TM35-MAIN-052|Устройство отмостки УТ2.1|м3|3.86|not_started
153|TM35-MAIN-053|Отделка цоколя УТ1|комп.|1.0|in_progress
154|TM35-MAIN-054|Отделка цоколя УТ1.1|комп.|1.0|in_progress
155|TM35-MAIN-055|Отделка цоколя УТ2|комп.|1.0|in_progress
156|TM35-MAIN-056|Отделка цоколя УТ2.1|комп.|1.0|in_progress
157|TM35-MAIN-057|Монтаж дефлекторов УТ1|шт|1.0|not_started
158|TM35-MAIN-058|Монтаж дефлекторов УТ1.1|шт|1.0|not_started
159|TM35-MAIN-059|Монтаж дефлекторов УТ2|шт|1.0|not_started
160|TM35-MAIN-060|Монтаж дефлекторов УТ2.1|шт|1.0|not_started
161|TM35-MAIN-061|Монтаж ограждения кровли УТ1|комп.|1.0|not_started
162|TM35-MAIN-062|Монтаж ограждения кровли УТ1.1|комп.|1.0|not_started
163|TM35-MAIN-063|Монтаж ограждения кровли УТ2|комп.|1.0|not_started
164|TM35-MAIN-064|Монтаж ограждения кровли УТ2.1|комп.|1.0|not_started
165|TM35-MAIN-065|Устройство молниезащиты УУТЭ1-2|комп.|1.0|not_started
166|TM35-MAIN-066|Устройство молниезащиты УТ1|комп.|1.0|not_started
167|TM35-MAIN-067|Устройство молниезащиты УТ1.1|комп.|1.0|not_started
168|TM35-MAIN-068|Устройство молниезащиты УТ2|комп.|1.0|not_started
169|TM35-MAIN-069|Устройство молниезащиты УТ2.1|комп.|1.0|not_started
170|TM35-MAIN-070|ПНР узла учета УТ5|комп.|1.0|not_started
171|TM35-MAIN-071|ПНР узла учета УТ10|комп.|1.0|not_started
172|TM35-MAIN-072|Повторный ПНР УУТЭ|комп.|1.0|not_started
173|TM35-MAIN-073|Переустройство площадок обслуживания в УТ1|комп.|1.0|not_started
174|TM35-MAIN-074|Переустройство площадок обслуживания в УТ1.1|комп.|1.0|not_started
175|TM35-MAIN-075|Переустройство площадок обслуживания в УТ2|комп.|1.0|not_started
176|TM35-MAIN-076|Переустройство площадок обслуживания в УТ2.1|комп.|1.0|not_started
177|TM35-MAIN-077|Замена задвижки ДУ250 в камере УТ8|шт|1.0|not_started
178|TM35-MAIN-078|Пескоструйная обработка металлоконструкций с окраской|м2|4315.25|in_progress
179|TM35-MAIN-079|Устройство отсановки "Березка"|комп.|1.0|not_started
180|TM35-MAIN-080|Вертикальная планировка|м2|356108.1|not_started
181|TM35-MAIN-081|Рекультивация|м2|356108.1|not_started
182|TM35-MAIN-082|Восстановление обочин дорог (Хабавтодор и тд.)|комп.|1.0|not_started
183|TM35-MAIN-083|Монтаж футляра газопровода у КМ5|шт|1.0|not_started
184|TM35-MAIN-084|Сварные работы по монтажу обрамления и обрешетки приямка УУТЭ1, УУТЭ2|шт|4.0|done_physically
185|TM35-MAIN-085|Прокладка группового кабеля по строительным основаниям УТ4|м.п.|50.0|done_physically
186|TM35-MAIN-086|Переустройство скользящих опор (сварочно-монтажные работы) КР2.1 - УТ15|шт|18.0|not_started
187|TM35-MAIN-087|Устранение замечаний РСК по скользящим опорам УТ2 - УТ2.1|комп.|1.0|in_progress
188|TM35-MAIN-088|Заделка швов межтрубных пространств вилатермом на УУТЭ 1|комп.|1.0|done_physically
189|TM35-MAIN-089|Заделка швов межтрубных пространств вилатермом на УУТЭ 2|комп.|1.0|done_physically
190|TM35-MAIN-090|Заделка швов межтрубных пространств вилатермом на УУСА 1|комп.|1.0|not_started
191|TM35-MAIN-091|Заделка швов межтрубных пространств вилатермом на УУСА 2|комп.|1.0|done_physically
192|TM35-MAIN-092|Переустройство кожухов (металлоконструкций павильонов) УУСА1 с их утеплением|комп.|1.0|not_started
193|TM35-MAIN-093|Переустройство кожухов (металлоконструкций павильонов) УУСА2 с их утеплением|комп.|1.0|not_started
194|TM35-MAIN-094|Переустройство кожухов (металлоконструкций павильонов) УУТЭ1 с их утеплением|комп.|1.0|not_started
195|TM35-MAIN-095|Переустройство кожухов (металлоконструкций павильонов) УУТЭ2 с их утеплением|комп.|1.0|not_started
196|TM35-MAIN-096|Устройство цоколя УУТЭ1|комп.|1.0|not_started
197|TM35-MAIN-097|Устройство цоколя УУТЭ2|комп.|1.0|not_started
198|TM35-MAIN-098|Отделка цоколя УУТЭ1|комп.|1.0|not_started
199|TM35-MAIN-099|Отделка цоколя УУТЭ2|комп.|1.0|not_started
200|TM35-MAIN-100|Устройство отмостки УУТЭ1|комп.|1.0|not_started
201|TM35-MAIN-101|Устройство отмостки УУТЭ2|комп.|1.0|not_started
202|TM35-MAIN-102|Электрофикация УТ11|комп.|1.0|done_physically
203|TM35-MAIN-103|Электрофикация УТ12|комп.|1.0|done_physically
204|TM35-MAIN-104|Электрофикация УТ13|комп.|1.0|in_progress
205|TM35-MAIN-105|Внедрение системы СОДК УТ15.1|комп.|1.0|done_physically
257|TM35-RSK-001|Переустройство проемов|шт|1.0|done_physically
258|TM35-RSK-002|№ 376 УУТЭ1, УУТЭ2. На смонтированных металлических гильзах проходов трубопроводов через стены узлов учета тепловой энергии  (УУТЭ1, УУТЭ2) не выполнено антикоррозионное покрытие. Нарушены    требования    проектной документации: л.59 шифр 2020.069.3000-ТМ-ИЛО.АС.ГЧ; ч. 6 ст. 52 ГрК РФ.|шт|1.0|done_physically
259|TM35-RSK-003|Устройство водоотвода УТ1.1 и вертикальная планировка|комп.|1.0|not_started
260|TM35-RSK-004|Пескоструйная обработка металлоконструкций с окраской|м2|4315.25|not_started
261|TM35-RSK-005|Участок УП8-УТП10. На участке ОПв1.4-ОПн1.6 скользящие опоры приварены к опорным частям эстакады. В результате этого, при наполнении  трубопроводов Т1, Т2 теплоносителем произошло смещение трубопровода Т1 относительно продольной оси теплотрассы. На участке УП9-УП10  выявлено  неполное прилегание скользящих опор трубопроводов Т1, Т2 к опорным частям эстакады. Нарушены требования проектной документации  л.32 шифр  2020.069.3000-ТМ-ТКР-ГЧ; п. 5.4.15 СП 74.13330.2023 «Тепловые сети»; ч. 6 ст. 52 ГрК РФ.|шт|1.0|done_physically
262|TM35-RSK-006|Ремонт изоляции ППУ|шт|1.0|not_started
263|TM35-RSK-007|Ремонт изоляции ППУ|шт|1.0|not_started
(163 rows)
