Вкладка;№ п/п;Раздел;Конструкция;Участок/фундамент
1. ОПН;1;ОПн1-ОПн14.1;ОПн1;Фм-9
1. ОПН;3;ОПн1-ОПн14.1;ОПн3;Фм-9
1. ОПН;4;ОПн1-ОПн14.1;ОПн3.1;Фм-9
1. ОПН;5;ОПн1-ОПн14.1;ОПн4;Фм-9
1. ОПН;6;ОПн1-ОПн14.1;ОПн5;Фм-9
1. ОПН;8;ОПн1-ОПн14.1;ОПн7;Фм-9
1. ОПН;10;ОПн1-ОПн14.1;ОПн13;Фм-9
1. ОПН;2;ОПн1-ОПн14.1;ОПн2;Фм-10
1. ОПН;7;ОПн1-ОПн14.1;ОПн6;Фм-10
1. ОПН;9;ОПн1-ОПн14.1;ОПн8;Фм-24
1. ОПН;11;ОПн1-ОПн14.1;ОПн14;Фм-28
1. ОПН;12;ОПн1-ОПн14.1;ОПн14.1;Фм-28
1. ОПН;13;ОПн24-ОПн116;ОПн24;Фм-8
1. ОПН;14;ОПн24-ОПн116;ОПн111.1;Фм-2
1. ОПН;15;ОПн24-ОПн116;ОПн111.2;Фм-7
1. ОПН;16;ОПн24-ОПн116;ОПн112;Фм-7
1. ОПН;17;ОПн24-ОПн116;ОПн113;Фм-7
1. ОПН;18;ОПн24-ОПн116;ОПн114;Фм-8
1. ОПН;19;ОПн24-ОПн116;ОПн114.1;Фм-2
1. ОПН;20;ОПн24-ОПн116;ОПн116;Фм-2
1. ОПН;21;ОПн58;ОПн58;Фм-3
1. ОПН;22;ОПн118;ОПн118;Фм-2
1. ОПН;23;ОПн119-ОПн153;ОПн119;Фм-7
1. ОПН;24;ОПн119-ОПн153;ОПн120;Фм-7
1. ОПН;25;ОПн119-ОПн153;ОПн120.1;Фм-24
1. ОПН;26;ОПн119-ОПн153;ОПн123;Фм-8
1. ОПН;27;ОПн119-ОПн153;ОПн124;Фм-8
1. ОПН;28;ОПн119-ОПн153;ОПн153;Фм-8
1. ОПН;29;ОПн154-ОПн253.3;ОПн154;Фм-7
1. ОПН;30;ОПн154-ОПн253.3;ОПн155;Фм-7
1. ОПН;31;ОПн154-ОПн253.3;ОПн156;Фм-7
1. ОПН;32;ОПн154-ОПн253.3;ОПн157;Фм-3
1. ОПН;33;ОПн154-ОПн253.3;ОПн158;Фм-3
1. ОПН;34;ОПн154-ОПн253.3;ОПн159;Фм-3
1. ОПН;35;ОПн154-ОПн253.3;ОПн160;Фм-2
1. ОПН;36;ОПн154-ОПн253.3;ОПн161;Фм-3
1. ОПН;37;ОПн154-ОПн253.3;ОПн162;Фм-7
1. ОПН;38;ОПн154-ОПн253.3;ОПн163;Фм-7
1. ОПН;39;ОПн154-ОПн253.3;ОПн164;Фм-7
1. ОПН;40;ОПн154-ОПн253.3;ОПн165;Фм-3
1. ОПН;41;ОПн154-ОПн253.3;ОПн166;Фм-2
1. ОПН;42;ОПн154-ОПн253.3;ОПн253.3;Фм-28
1. ОПН;43;ОПн254-ОПн273.1;ОПн254;Фм-17
1. ОПН;44;ОПн254-ОПн273.1;ОПн255;Фм-18
1. ОПН;45;ОПн254-ОПн273.1;ОПн256;Фм-17
1. ОПН;46;ОПн254-ОПн273.1;ОПн257;Фм-17
1. ОПН;47;ОПн254-ОПн273.1;ОПн258;Фм-17
1. ОПН;48;ОПн254-ОПн273.1;ОПн259;Фм-16
1. ОПН;49;ОПн254-ОПн273.1;ОПн260;Фм-14
1. ОПН;50;ОПн254-ОПн273.1;ОПн261;Фм-15
1. ОПН;51;ОПн254-ОПн273.1;ОПн262;Фм-15
1. ОПН;52;ОПн254-ОПн273.1;ОПн263;Фм-14
1. ОПН;53;ОПн254-ОПн273.1;ОПн264;Фм-15
1. ОПН;54;ОПн254-ОПн273.1;ОПн265;Фм-15
1. ОПН;55;ОПн254-ОПн273.1;ОПн266;Фм-14
1. ОПН;56;ОПн254-ОПн273.1;ОПн267;Фм-14
1. ОПН;57;ОПн254-ОПн273.1;ОПн268;Фм-16
1. ОПН;58;ОПн254-ОПн273.1;ОПн269;Фм-14
1. ОПН;59;ОПн254-ОПн273.1;ОПн270;Фм-14
1. ОПН;60;ОПн254-ОПн273.1;ОПн271;Фм-15
1. ОПН;61;ОПн254-ОПн273.1;ОПн272;Фм-15
1. ОПН;62;ОПн254-ОПн273.1;ОПн273;Фм-17
1. ОПН;63;ОПн254-ОПн273.1;ОПн273.1;Фм-18
1. ОПН;64;ОПн274-ОПн299;ОПн274;Фм-17
1. ОПН;65;ОПн274-ОПн299;ОПн275;Фм-14
1. ОПН;66;ОПн274-ОПн299;ОПн276;Фм-14
1. ОПН;67;ОПн274-ОПн299;ОПн277;Фм-14
1. ОПН;68;ОПн274-ОПн299;ОПн278;Фм-15
1. ОПН;69;ОПн274-ОПн299;ОПн279;Фм-33
1. ОПН;70;ОПн274-ОПн299;ОПн280;Фм-15
1. ОПН;71;ОПн274-ОПн299;ОПн281;Фм-33
1. ОПН;72;ОПн274-ОПн299;ОПн282;Фм-15
1. ОПН;73;ОПн274-ОПн299;ОПн283;Фм-14
1. ОПН;74;ОПн274-ОПн299;ОПн284;Фм-14
1. ОПН;75;ОПн274-ОПн299;ОПн285;Фм-14
1. ОПН;76;ОПн274-ОПн299;ОПн286;Фм-14
1. ОПН;77;ОПн274-ОПн299;ОПн287;Фм-14
1. ОПН;78;ОПн274-ОПн299;ОПн288;Фм-15
1. ОПН;79;ОПн274-ОПн299;ОПн289;Фм-33
1. ОПН;80;ОПн274-ОПн299;ОПн290;Фм-15
1. ОПН;81;ОПн274-ОПн299;ОПн291;Фм-33
1. ОПН;82;ОПн274-ОПн299;ОПн292;Фм-15
1. ОПН;83;ОПн274-ОПн299;ОПн293;Фм-14
1. ОПН;84;ОПн274-ОПн299;ОПн294;Фм-14
1. ОПН;85;ОПн274-ОПн299;ОПн295;Фм-16
1. ОПН;86;ОПн274-ОПн299;ОПн296;Фм-16
1. ОПН;87;ОПн274-ОПн299;ОПн297;Фм-14
1. ОПН;88;ОПн274-ОПн299;ОПн298;Фм-15
1. ОПН;89;ОПн274-ОПн299;ОПн299;Фм-15
1. ОПН;90;ОПн300-ОПн304;ОПн300;Фм-17
1. ОПН;91;ОПн300-ОПн304;ОПн301;Фм-17
1. ОПН;92;ОПн300-ОПн304;ОПн302;Фм-19
1. ОПН;93;ОПн300-ОПн304;ОПн303;Фм-17
1. ОПН;94;ОПн300-ОПн304;ОПн304;Фм-17
2. ОПН (рсм);1;ОПн15-ОПн18;ОПн15;рсм
2. ОПН (рсм);2;ОПн15-ОПн18;ОПн16;рсм
2. ОПН (рсм);3;ОПн15-ОПн18;ОПн17;рсм2
2. ОПН (рсм);4;ОПн15-ОПн18;ОПн18;рсм2
2. ОПН (рсм);5;ОПн19-ОПн57;ОПн19;рсм
2. ОПН (рсм);6;ОПн19-ОПн57;ОПн20;рсм
2. ОПН (рсм);7;ОПн19-ОПн57;ОПн21;рсм
2. ОПН (рсм);8;ОПн19-ОПн57;ОПн22;рсм
2. ОПН (рсм);9;ОПн19-ОПн57;ОПн23;рсм
2. ОПН (рсм);10;ОПн19-ОПн57;ОПн25;рсм
2. ОПН (рсм);11;ОПн19-ОПн57;ОПн26;рсм
2. ОПН (рсм);12;ОПн19-ОПн57;ОПн27;рсм
2. ОПН (рсм);13;ОПн19-ОПн57;ОПн28;рсм
2. ОПН (рсм);14;ОПн19-ОПн57;ОПн29;рсм
2. ОПН (рсм);15;ОПн19-ОПн57;ОПн30;рсм
2. ОПН (рсм);16;ОПн19-ОПн57;ОПн31;рсм
2. ОПН (рсм);17;ОПн19-ОПн57;ОПн32;рсм
2. ОПН (рсм);18;ОПн19-ОПн57;ОПн33;рсм
2. ОПН (рсм);19;ОПн19-ОПн57;ОПн34;рсм
2. ОПН (рсм);20;ОПн19-ОПн57;ОПн35;рсм
2. ОПН (рсм);21;ОПн19-ОПн57;ОПн36;рсм
2. ОПН (рсм);22;ОПн19-ОПн57;ОПн37;рсм
2. ОПН (рсм);23;ОПн19-ОПн57;ОПн38;рсм
2. ОПН (рсм);24;ОПн19-ОПн57;ОПн39;рсм
2. ОПН (рсм);25;ОПн19-ОПн57;ОПн40;рсм
2. ОПН (рсм);26;ОПн19-ОПн57;ОПн41;рсм
2. ОПН (рсм);27;ОПн19-ОПн57;ОПн42;рсм
2. ОПН (рсм);28;ОПн19-ОПн57;ОПн43;рсм
2. ОПН (рсм);29;ОПн19-ОПн57;ОПн44;рсм
2. ОПН (рсм);30;ОПн19-ОПн57;ОПн45;рсм
2. ОПН (рсм);31;ОПн19-ОПн57;ОПн46;рсм
2. ОПН (рсм);32;ОПн19-ОПн57;ОПн47;рсм
2. ОПН (рсм);33;ОПн19-ОПн57;ОПн57;рсм
2. ОПН (рсм);34;ОПн48-ОПн117;ОПн48;рсм
2. ОПН (рсм);35;ОПн48-ОПн117;ОПн49;рсм
