row,uchastok,category,name,type,status,status_fill,executor,cost_mln,remarks_rsk,normalized_name,candidate_count,candidate_ids,candidate_tabs
22,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Опв 1-6,фм,согласовано к подписанию,FFFFC000,Денисов М.,11.28,175-обр.засыпка;198-замена грунта;225-расхожд.план-выс.отметок,опв 1-6,8,304;305;306;307;308;309;310;311,ОПВ
24,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н1-4,фм,Подписано до до бетона,FF92D050,Ефремов А.,4.87,213-ж/б пов-ть,н1-4,5,327;328;329;330;331,Н
26,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн1-14.1,фм,,,Денисов М.,3.92,175-обр.засыпка;225-расхожд.план-выс.отметок;375-ж/б пов-ть,опн1-14.1,0,,
28,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Опв 7-9,фм,согласовано к подписанию,FFFFC000,Денисов М.,3.88,,опв 7-9,3,312;313;314,ОПВ
30,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн15-18,рсм,Подписаны сваи,FFFFC000,Денисов М.,0.3,,опн15-18,0,,
32,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн19-47 +57,рсм,Подписаны сваи,FFFFC000,Денисов М.,1.32,67-замена грунта;140-замена грунта;375-ж/б пов-ть,опн19-47 +57,0,,
34,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн24, 58, 111.1-114.1, 116",фм,согласовано к подписанию,FFFFC000,Денисов М.,2.41,375-ж/б пов-ть,"опн24, 58, 111.1-114.1, 116",0,,
36,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н5-18,фм,,,Ефремов А.,11.51,127-досыпка грунта;154-обр.засыпка;156-обр.засыпка,н5-18,14,332;333;334;335;336;337;338;339;340;341;342;343;344;345,Н
38,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн48-56, 115, 117",рсм,Подписаны сваи,FFFFC000,Денисов М.,0.5,,"опн48-56, 115, 117",0,,
40,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн59-65, 77, 102, 103",рсм,Подписаны сваи,FFFFC000,Денисов М.,0.45,,"опн59-65, 77, 102, 103",0,,
42,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",рсм,Подписаны сваи,FFFFC000,Денисов М.,2.07,60-ж/б пов-ть;66-ж/б пов-ть;375-ж/б пов-ть,"опн67-76, 78-94, 95-101, 104-111,187, 191-196,199 227-241, 243-253.2",0,,
44,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПв10-12,фм,согласовано к подписанию,FFFFC000,Денисов М.,4.63,,опв10-12,0,,
46,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн118-120.1, 123, 124, 153",фм,,,Денисов М.,1.94,151-отклон. В констр.армиров.;375-ж/б пов-ть,"опн118-120.1, 123, 124, 153",0,,
48,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПв13-15,фм,согласовано к подписанию,FFFFC000,Денисов М.,5.34,210-откл.пла-выс.отметок,опв13-15,0,,
50,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПн125 - ОПН143,рсм,,,Мирошник Т.,1.14,375-ж/б пов-ть;194-ж/б пов-ти;375-ж/б пов-ть,опн125 - опн143,0,,
52,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н19-22,фм,,,Ефремов А.,10.8,213-ж/б пов-та;228-обр.засыпка,н19-22,5,346;347;348;349;350,Н
54,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПв15.1, 15.2, 16-18",рсм,,,Денисов М.,1.65,214-отклон. В полож.свай,"опв15.1, 15.2, 16-18",0,,
56,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,ОПв19-24,фм,согласовано к подписанию,FFFFC000,Мирошник Т.,8.87,,опв19-24,0,,
58,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,Н23-35,фм,,,Черемных А.,13.12,164-отклон. В шаге армир.,н23-35,13,351;352;353;354;355;356;357;358;359;360;361;362;363,Н
60,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн54-166, 253.3",фм,,,Мирошник Т.,3.96,375-ж/б пов-ть,"опн54-166, 253.3",0,,
62,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Опоры,"ОПн167-186, 188-190, 197,198, 200-226",рсм,,,Дудник Д.,1.62,52+60+66-ж/б пов-ти;129-неплотн.прилег.;116-неплотн.прилег.;161-неплотн.прилег.,"опн167-186, 188-190, 197,198, 200-226",0,,
65,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-1,,,,Денисов М.,0.19,,кд-1,0,,
67,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-2,,,,Денисов М.,0.19,,кд-2,0,,
69,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-3,,,,Денисов М.,0.13,,кд-3,0,,
71,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-1+полы,,,,Ефремов А.,1.36,"255-констр.подбетонки;285-смещ.ФМ1, ФМ1.1, ФМ2;380-материал изол.цоколя",ут-1+полы,0,,
73,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-4,,,,Денисов М.,0.27,,кд-4,0,,
75,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-5,,,,Денисов М.,0.13,,кд-5,0,,
77,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-1.1+полы,,,,Ефремов А.,1.36,176-констр.подбетонки;383-деформ. Основания и подбетонки,ут-1.1+полы,0,,
79,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-6.1,,,,Денисов М.,0.27,,кд-6.1,0,,
81,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-7,,,,Денисов М.,0.13,,кд-7,0,,
83,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-8,,,,Денисов М.,0.13,,кд-8,0,,
85,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-8.1,,,,Денисов М.,0.19,,кд-8.1,0,,
87,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,КД-12,,,,Денисов М.,0.19,,кд-12,0,,
89,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-2+полы,,,,Ефремов А.,1.36,176-констр.подбетонки;268-отв.под болты;373-наруш.заземл.;374-наруш . При нанес. Огнезащиты,ут-2+полы,0,,
93,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-2.1+полы,,,,Ефремов А.,1.36,176-констр.подбетонки;186-полож.болтов;282-трещ.в ФМ2;283-размеры приямка,ут-2.1+полы,0,,
97,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Камеры и колодцы,УТ-2.2,,,,Ефремов А.,4.65,,ут-2.2,0,,
100,График сдачи ИД на участке №1 от границы проектирования до УТ2.2,Трубопровод,ОПв1-Н8,,,,Перфилов А.,441.51,,опв1-н8,0,,
