source_row,group_label,token,kind,reason
22,Опв 1-6,Опв 1-6,range,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
24,Н1-4,Н1-4,range,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
26,ОПн1-14.1,ОПн1-14.1,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
28,Опв 7-9,Опв 7-9,range,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
30,ОПн15-18,ОПн15-18,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
32,ОПн19-47 +57,ОПн19-47,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
32,ОПн19-47 +57,57,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
34,"ОПн24, 58, 111.1-114.1, 116",ОПн24,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
34,"ОПн24, 58, 111.1-114.1, 116",58,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
34,"ОПн24, 58, 111.1-114.1, 116",111.1-114.1,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
34,"ОПн24, 58, 111.1-114.1, 116",116,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
36,Н5-18,Н5-18,range,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
38,"ОПн48-56, 115, 117",ОПн48-56,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
38,"ОПн48-56, 115, 117",115,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
38,"ОПн48-56, 115, 117",117,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
40,"ОПн59-65, 77, 102, 103",ОПн59-65,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
